,doc_id,pred_class,true_class,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,mis_classified
0,0,2,0,0.29043624,0.008922261,0.6463389,0.005307352,0.0025099893,0.018404849,0.004338281,0.0090003,0.012662103,0.00094714126,0.0011326699,True
1,1,4,0,0.028247263,0.0015276104,0.003754726,0.058445465,0.7135316,0.0006954061,0.18091147,0.00043507526,0.0036437474,0.0005631305,0.008244397,True
2,2,0,0,0.99545187,4.2542328e-05,0.001033181,3.6473657e-06,9.914015e-05,0.0015107996,0.0017199954,8.766577e-05,4.6567798e-06,1.7012575e-05,2.946894e-05,False
3,3,4,0,0.037311614,0.11588937,0.118175246,0.052221425,0.45382905,0.00030881094,0.19883773,0.00080596237,0.0005848299,0.000267128,0.021768851,True
4,4,0,0,0.9406366,0.00072947686,0.00042031248,1.2634333e-06,0.00028246435,8.1292805e-05,0.05739627,2.7793072e-05,0.00013554558,1.6606931e-06,0.0002873997,False
5,5,0,0,0.8027522,0.021733673,0.049321607,0.0018694063,0.009952084,0.037617955,0.03765861,0.010183797,0.0036362426,0.0048851655,0.020389298,False
6,6,1,0,0.023485232,0.5115473,0.11495197,0.036780395,0.16931821,0.01398676,0.032779995,0.016599314,0.042530335,0.021680916,0.01633956,True
7,7,0,0,0.92112064,0.00012824911,0.05490135,0.0001466363,0.016445605,0.00023883028,0.0017686981,0.00014873868,2.2234376e-06,0.003402197,0.0016968446,False
8,8,1,0,0.36732706,0.49848634,0.03450503,0.0010841342,0.0026918415,0.005284913,0.08865948,8.5012296e-05,1.4350546e-05,0.00080258644,0.0010592698,True
9,9,0,0,0.86912036,0.0032840634,0.11128596,0.00025375944,0.0029006158,0.0011243743,0.010193823,0.00021174166,1.730808e-05,0.00011371932,0.0014943705,False
10,10,0,0,0.75490344,0.0006028394,0.23876065,0.00015576684,0.00061221543,0.0030599432,0.00066011684,3.569252e-05,7.6176902e-06,0.00075825525,0.00044347072,False
11,11,4,0,0.00011023706,0.00014289317,1.629746e-05,6.557945e-08,0.99942744,1.0507714e-06,6.5714165e-05,9.4320825e-08,6.788936e-07,2.0675962e-07,0.00023533974,True
12,12,6,0,0.12747271,0.024529845,0.044717494,0.0043119295,0.036477044,0.0004808502,0.76154476,4.207153e-05,2.1811378e-05,4.181451e-06,0.00039728577,True
13,13,0,0,0.8291546,0.016761037,0.005227894,0.0001652248,0.00061561115,1.29793525e-05,0.14761424,3.738597e-05,0.000298827,1.0214909e-05,0.00010193193,False
14,14,0,0,0.82418233,0.012172868,0.053066157,0.0011175463,0.021534149,0.0041061244,0.082398996,0.00064341765,0.00014117513,5.0439998e-05,0.0005867375,False
15,15,2,0,0.2198959,0.35929456,0.3974395,0.00012448413,0.010034469,0.00020865192,0.010808895,0.00019270608,4.0690524e-05,6.260214e-05,0.0018975646,True
16,16,6,0,0.4472692,4.5739205e-05,0.0004695309,9.647382e-05,0.00065577053,8.952147e-06,0.5514272,9.063651e-06,5.145398e-07,4.578985e-06,1.2979787e-05,True
17,17,1,0,0.0011286936,0.9921943,0.00095231703,2.2017859e-05,0.005610706,5.227676e-06,5.661461e-05,1.6311765e-06,1.6884036e-08,2.5937427e-06,2.5773541e-05,True
18,18,0,0,0.95559615,0.036793835,0.00415728,0.00040970725,0.0005878148,0.00058073807,0.0004716064,3.4784734e-05,1.430902e-05,0.0013012649,5.256848e-05,False
19,19,1,0,0.0077316407,0.9850685,0.0009994318,8.660953e-06,0.002639669,8.4769315e-05,0.0032513428,6.200188e-05,1.0402048e-05,5.7026687e-06,0.00013786911,True
20,20,0,0,0.7733483,0.010284768,0.11216915,0.0016929337,0.0035892338,0.001646566,0.02694439,0.066126555,0.0012971312,0.0001462046,0.002754735,False
21,21,0,0,0.81708634,0.00035018544,0.039871622,0.0030704637,0.034701407,0.000121631994,0.05205134,0.00032718314,1.5441123e-07,1.3361917e-05,0.05240636,False
